dataset,split,label,width,height,aspect_ratio,pixels,mode,size_bytes,filepath,filename,corrupt
train_normal,train,normal,2359,2234,1.056,5270006,L,2080997,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0927-0001.jpeg,NORMAL2-IM-0927-0001.jpeg,False
train_normal,train,normal,1422,1067,1.333,1517274,L,366112,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1056-0001.jpeg,NORMAL2-IM-1056-0001.jpeg,False
train_normal,train,normal,1828,1357,1.347,2480596,L,595970,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0427-0001.jpeg,IM-0427-0001.jpeg,False
train_normal,train,normal,1854,1495,1.24,2771730,L,647301,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1260-0001.jpeg,NORMAL2-IM-1260-0001.jpeg,False
train_normal,train,normal,2194,1966,1.116,4313404,L,1133904,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0656-0001-0001.jpeg,IM-0656-0001-0001.jpeg,False
train_normal,train,normal,2172,1963,1.106,4263636,L,1041035,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0561-0001.jpeg,IM-0561-0001.jpeg,False
train_normal,train,normal,1902,1665,1.142,3166830,L,673595,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1110-0001.jpeg,NORMAL2-IM-1110-0001.jpeg,False
train_normal,train,normal,1284,1086,1.182,1394424,L,401472,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0757-0001.jpeg,IM-0757-0001.jpeg,False
train_normal,train,normal,1188,885,1.342,1051380,L,269565,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1326-0001.jpeg,NORMAL2-IM-1326-0001.jpeg,False
train_normal,train,normal,1432,1184,1.209,1695488,L,209011,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0736-0001.jpeg,NORMAL2-IM-0736-0001.jpeg,False
train_normal,train,normal,1442,1152,1.252,1661184,L,441242,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0500-0001.jpeg,NORMAL2-IM-0500-0001.jpeg,False
train_normal,train,normal,1410,1106,1.275,1559460,L,423135,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0393-0001.jpeg,NORMAL2-IM-0393-0001.jpeg,False
train_normal,train,normal,2373,2663,0.891,6319299,L,1992987,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0994-0001.jpeg,NORMAL2-IM-0994-0001.jpeg,False
train_normal,train,normal,1426,1049,1.359,1495874,L,418511,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0207-0001.jpeg,IM-0207-0001.jpeg,False
train_normal,train,normal,1692,1302,1.3,2202984,L,584557,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0494-0001.jpeg,IM-0494-0001.jpeg,False
train_normal,train,normal,2172,1615,1.345,3507780,L,728412,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0177-0001.jpeg,IM-0177-0001.jpeg,False
train_normal,train,normal,1680,1353,1.242,2273040,L,563709,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0388-0001.jpeg,IM-0388-0001.jpeg,False
train_normal,train,normal,1654,1364,1.213,2256056,L,618750,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0341-0001.jpeg,IM-0341-0001.jpeg,False
train_normal,train,normal,1372,1109,1.237,1521548,L,390489,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0355-0001.jpeg,IM-0355-0001.jpeg,False
train_normal,train,normal,1638,1236,1.325,2024568,L,480937,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0449-0001.jpeg,IM-0449-0001.jpeg,False
train_normal,train,normal,2218,2183,1.016,4841894,L,1034760,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0480-0001.jpeg,IM-0480-0001.jpeg,False
train_normal,train,normal,2309,2601,0.888,6005709,L,2032211,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1038-0001.jpeg,NORMAL2-IM-1038-0001.jpeg,False
train_normal,train,normal,1782,1391,1.281,2478762,L,609693,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-1348-0001.jpeg,NORMAL2-IM-1348-0001.jpeg,False
train_normal,train,normal,1114,815,1.367,907910,L,246791,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0739-0001.jpeg,IM-0739-0001.jpeg,False
train_normal,train,normal,1928,1303,1.48,2512184,L,569205,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/IM-0213-0001.jpeg,IM-0213-0001.jpeg,False
train_normal,train,normal,1454,978,1.487,1422012,L,347654,/Users/josephinehojding/.cache/kagglehub/datasets/paultimothymooney/chest-xray-pneumonia/versions/2/chest_xray/train/NORMAL/NORMAL2-IM-0452-0001.jpeg,NORMAL2-IM-0452-0001.jpeg,False
